"filename", "language", "C++", "CMake", "XML", "CMakeCache", "YAML", "JSON", "Makefile", "Python", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\cmake_install.cmake", "CMake", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 45
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\matplotlib-populate-prefix\tmp\matplotlib-populate-gitclone.cmake", "CMake", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 74
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\matplotlib-populate-prefix\tmp\matplotlib-populate-gitupdate.cmake", "CMake", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 49, 28, 278
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\matplotlib-populate-prefix\tmp\matplotlib-populate-mkdirs.cmake", "CMake", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 23
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\matplotlib-populate.vcxproj", "XML", 0, 0, 294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 294
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\cmake_install.cmake", "CMake", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 45
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\visual_slam_cpp.vcxproj", "XML", 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 350
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\include\SLAM.hpp", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 16, 73
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\include\backend_optimization.hpp", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 36
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\include\camera.hpp", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 39
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\include\common_includes.hpp", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\include\frame.hpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 78
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\include\loop_closing.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\include\map.hpp", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 78
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\include\read_dataset.hpp", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\include\tools.hpp", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 25
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\include\tracking.hpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 75
